Florida Gators,FGM,FGA,3M,3A,FTM,FTA,REB,Oreb,Turn,steal,Merrimack Warriors,FGM,FGA,3M,3A,FTM,FTA,REB,Oreb,Turn,steal,Players,Chat GPT Team,Team,Location,Opponent,Opponent Conference,Conference Game,Power,Top 25,STR/BENCH,,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,OPP ACTIVE VALUE,OPP HISTORICAL VALUE,TEAM ACTIVE VALUE,TEAM HISTORICAL VALUE,Doubles,Double Doube,Triple Double,0-3+ FG,Perfect 2 FG min 3,Perfect 3 FG min 3,Points Leader,Def Reb Leader,Off Reb Leader,Steal Leader,Assist Leader,Foul Trouble,20+ minutes,20+ points,SM,Line,Clutch ,Overtime,Attendance,Player Points,Points Florida,Points Merrimack
Idaho,,,,,,,,,,,Idaho,IDHO,,,,,,,,,0,,Idaho - 9.241,NO,Big Sky,"Moscow, ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho St.,,,,,,,,,,,Idaho St.,,,,,,,,,,0,,Idaho St. - 10.813,NO,Big Sky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,,,,,,,,,,,Illinois,ILL,,,,,,,,,1,,Illinois - 72.011,YES,Big Ten,"Champaign, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois Chicago,,,,,,,,,,,Illinois Chicago,UIC,,,,,,,,,0,,Illinois Chicago - 9.362,NO,Missouri Valley,"Chicago, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois St.,,,,,,,,,,,Illinois St.,ILST,,,,,,,,,0,,Illinois St. - 16.215,NO,Missouri Valley,"Normal, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incarnate Word,,,,,,,,,,,Incarnate Word,UIW,,,,,,,,,0,,Incarnate Word - 15.866,NO,Southland,"San Antonio, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,,,,,,,,,,,Indiana,IU,,,,,,,,,0,,Indiana - 15.516,NO,Big Ten,"Bloomington, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana St.,,,,,,,,,,,Indiana St.,INST,,,,,,,,,0,,Indiana St. - 26.519,NO,Missouri Valley,"Terre Haute, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iona,,,,,,,,,,,Iona,IONA,,,,,,,,,0,,Iona - 30.601,NO,MAAC,"New Rochelle, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,,,,,,,,,,,Iowa,IOWA,,,,,,,,,0,,Iowa - 21.863,NO,Big Ten,"Iowa City, IA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa St.,,,,,,,,,,,Iowa St.,ISU,,,,,,,,,1,,Iowa St. - 49.599,YES,Big 12,"Ames, IA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IU Indy,,,,,,,,,,,IU Indy,IUIN,,,,,,,,,0,,IU Indy - 2.264,NO,Horizon,"Indianapolis, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson St.,,,,,,,,,,,Jackson St.,,,,,,,,,,0,,Jackson St. - 13.863,NO,SWAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacksonville,,,,,,,,,,,Jacksonville,JAX,,,,,,,,,0,,Jacksonville - 20.991,NO,ASUN,"Jacksonville, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacksonville St.,,,,,,,,,,,Jacksonville St.,JXST,,,,,,,,,0,,Jacksonville St. - 26.248,NO,CUSA,"Jacksonville, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Madison,,,,,,,,,,,James Madison,JMU,,,,,,,,,0,,James Madison - 33.861,NO,Sun Belt,"Harrisonburg, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,,,,,,,,,,,Kansas,KU,,,,,,,,,1,,Kansas - 52.187,YES,Big 12,"Lawrence, KS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas St.,,,,,,,,,,,Kansas St.,KSU,,,,,,,,,0,,Kansas St. - 16.237,NO,Big 12,"Manhattan, KS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennesaw St.,,,,,,,,,,,Kennesaw St.,KENN,,,,,,,,,0,,Kennesaw St. - 22.125,NO,CUSA,"Kennesaw, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kent St.,,,,,,,,,,,Kent St.,KENT,,,,,,,,,0,,Kent St. - 34.322,NO,MAC,"Kent, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,,,,,,,,,,,Kentucky,UK,,,,,,,,,1,,Kentucky - 51.085,YES,SEC,"Lexington, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Salle,,,,,,,,,,,La Salle,LAS,,,,,,,,,0,,La Salle - 11.448,NO,A10,"Philadelphia, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lafayette,,,,,,,,,,,Lafayette,LAF,,,,,,,,,0,,Lafayette - 9.471,NO,Patriot,"Easton, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar,,,,,,,,,,,Lamar,LAM,,,,,,,,,0,,Lamar - 11.999,NO,Southland,"Beaumont, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Moyne,,,,,,,,,,,Le Moyne,,,,,,,,,,0,,Le Moyne - 12.666,NO,NEC,"Syracuse, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lehigh,,,,,,,,,,,Lehigh,LEH,,,,,,,,,0,,Lehigh - 10.886,NO,Patriot,"Bethlehem, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty,,,,,,,,,,,Liberty,LIB,,,,,,,,,0,,Liberty - 45.395,YES,CUSA,"Lynchburg, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindenwood,,,,,,,,,,,Lindenwood,LIN,,,,,,,,,0,,Lindenwood - 14.381,NO,Ohio Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lipscomb,,,,,,,,,,,Lipscomb,LIP,,,,,,,,,0,,Lipscomb - 31.932,YES,ASUN,"Nashville, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Rock,,,,,,,,,,,Little Rock,LR,,,,,,,,,0,,Little Rock - 19.24,NO,Ohio Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIU,,,,,,,,,,,LIU,LIU,,,,,,,,,0,,LIU - 9.752,NO,NEC,"Brooklyn, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Beach St.,,,,,,,,,,,Long Beach St.,LBSU,,,,,,,,,0,,Long Beach St. - 24.069,NO,Big West,"Long Beach, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longwood,,,,,,,,,,,Longwood,LONG,,,,,,,,,0,,Longwood - 28.884,NO,Big South,"Farmville, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,,,,,,,,,,,Louisiana,UL,,,,,,,,,0,,Louisiana - 21.78,NO,Sun Belt,"Lafayette, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana Monroe,,,,,,,,,,,Louisiana Monroe,ULM,,,,,,,,,0,,Louisiana Monroe - 6.515,NO,Sun Belt,"Monroe, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana Tech,,,,,,,,,,,Louisiana Tech,LT,,,,,,,,,0,,Louisiana Tech - 15.731,NO,CUSA,"Ruston, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisville,,,,,,,,,,,Louisville,LOU,,,,,,,,,1,,Louisville - 2.453,YES,ACC,"Louisville, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loyola Chicago,,,,,,,,,,,Loyola Chicago,LUC,,,,,,,,,0,,Loyola Chicago - 41.822,NO,A10,"Chicago, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loyola Marymount,,,,,,,,,,,Loyola Marymount,LMU,,,,,,,,,0,,Loyola Marymount - 11.676,NO,WCC,"Los Angeles, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loyola MD,,,,,,,,,,,Loyola MD,L-MD,,,,,,,,,0,,Loyola MD - 10.16,NO,Patriot,"Baltimore, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSU,,,,,,,,,,,LSU,LSU,,,,,,,,,0,,LSU - 10.328,NO,SEC,"Baton Rouge, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,,,,,,,,,,,Maine,ME,,,,,,,,,0,,Maine - 13.165,NO,American East,"Orono, ME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manhattan,,,,,,,,,,,Manhattan,MAN,,,,,,,,,0,,Manhattan - 12.689,NO,MAAC,"Riverdale, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marist,,,,,,,,,,,Marist,MRST,,,,,,,,,0,,Marist - 14.028,NO,MAAC,"Poughkeepsie, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquette,,,,,,,,,,,Marquette,MARQ,,,,,,,,,0,,Marquette - 44.645,YES,Big East,"Milwaukee, WI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall,,,,,,,,,,,Marshall,MRSH,,,,,,,,,0,,Marshall - 14.159,NO,Sun Belt,"Huntington, WV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,,,,,,,,,,,Maryland,MD,,,,,,,,,0,,Maryland - 42.409,YES,Big Ten,"College Park, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland Eastern Shore,,,,,,,,,,,Maryland Eastern Shore,,,,,,,,,,0,,Maryland Eastern Shore - 8.115,NO,MEAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,,,,,,,,,,,Massachusetts,MASS,,,,,,,,,0,,Massachusetts - 8.526,NO,MAC,"Amherst, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McNeese St.,,,,,,,,,,,McNeese St.,MCN,,,,,,,,,0,,McNeese St. - 45.089,YES,Southland,"Lake Charles, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memphis,,,,,,,,,,,Memphis,MEM,,,,,,,,,0,,Memphis - 47.037,YES,American,"Memphis, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercer,,,,,,,,,,,Mercer,MER,,,,,,,,,0,,Mercer - 12.347,NO,Southern,"Macon, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercyhurst,,,,,,,,,,,Mercyhurst,MERC,,,,,,,,,0,,Mercyhurst - 10.762,NO,NEC,"Erie, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merrimack,,,,,,,,,,,Merrimack,MRMK,,,,,,,,,0,,Merrimack - 21.229,NO,MAAC,"North Andover, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami FL,,,,,,,,,,,Miami FL,MIA,,,,,,,,,0,,Miami FL - 29.132,NO,ACC,"Coral Gables, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami OH,,,,,,,,,,,Miami OH,M-OH,,,,,,,,,0,,Miami OH - 15.433,NO,MAC,"Oxford, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,,,,,,,,,,,Michigan,MICH,,,,,,,,,1,,Michigan - 58.895,YES,Big Ten,"Ann Arbor, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan St.,,,,,,,,,,,Michigan St.,MSU,,,,,,,,,1,,Michigan St. - 84.604,YES,Big Ten,"East Lansing, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Tennessee,,,,,,,,,,,Middle Tennessee,MTSU,,,,,,,,,0,,Middle Tennessee - 27.162,NO,CUSA,"Murfreesboro, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee,,,,,,,,,,,Milwaukee,MILW,,,,,,,,,0,,Milwaukee - 20.544,NO,Horizon,"Milwaukee, WI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,,,,,,,,,,,Minnesota,MINN,,,,,,,,,0,,Minnesota - -9.18,NO,Big Ten,"Minneapolis, MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,,,,,,,,,,,Mississippi,MISS,,,,,,,,,0,,Mississippi - 25.285,YES,SEC,"Oxford, MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi St.,,,,,,,,,,,Mississippi St.,MSST,,,,,,,,,0,,Mississippi St. - 43.439,YES,SEC,"Starkville, MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi Valley St.,,,,,,,,,,,Mississippi Valley St.,,,,,,,,,,0,,Mississippi Valley St. - 4.374,NO,SWAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,,,,,,,,,,,Missouri,MIZ,,,,,,,,,0,,Missouri - 25.617,YES,SEC,"Columbia, MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri St.,,,,,,,,,,,Missouri St.,MOST,,,,,,,,,0,,Missouri St. - 17.611,NO,CUSA,"Springfield, MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monmouth,,,,,,,,,,,Monmouth,,,,,,,,,,0,,Monmouth - 14.514,NO,CAA,"Trenton, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,,,,,,,,,,,Montana,MONT,,,,,,,,,0,,Montana - 40.969,YES,Big Sky,"Missoula, MT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana St.,,,,,,,,,,,Montana St.,MTST,,,,,,,,,0,,Montana St. - 38.671,NO,Big Sky,"Bozeman, MT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morehead St.,,,,,,,,,,,Morehead St.,,,,,,,,,,0,,Morehead St. - 33.842,NO,Ohio Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan St.,,,,,,,,,,,Morgan St.,MORG,,,,,,,,,0,,Morgan St. - 11.221,NO,MEAC,"Baltimore, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount St. Mary's,,,,,,,,,,,Mount St. Mary's,MSM,,,,,,,,,0,,Mount St. Mary's - 32.212,YES,MAAC,"Emmitsburg, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murray St.,,,,,,,,,,,Murray St.,MUR,,,,,,,,,0,,Murray St. - 17.846,NO,Missouri Valley,"Murray, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.C. State,,,,,,,,,,,N.C. State,NCSU,,,,,,,,,1,,N.C. State - 41.29,NO,ACC,"Raleigh, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navy,,,,,,,,,,,Navy,NAVY,,,,,,,,,0,,Navy - 16.273,NO,Patriot,"Annapolis, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,,,,,,,,,,,Nebraska,NEB,,,,,,,,,0,,Nebraska - 8.646,NO,Big Ten,"Lincoln, NE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska Omaha,,,,,,,,,,,Nebraska Omaha,OMA,,,,,,,,,0,,Nebraska Omaha - 27.277,YES,Summit,"Omaha, NE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,,,,,,,,,,,Nevada,NEV,,,,,,,,,0,,Nevada - 29.589,NO,Mountain West,"Reno, NV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,,,,,,,,,,,New Hampshire,UNH,,,,,,,,,0,,New Hampshire - 10.359,NO,American East,"Durham, NH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Haven,,,,,,,,,,,New Haven,NHVN,,,,,,,,,0,,New Haven - 9,NO,NEC,"New Haven, CT","West Haven, CT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,,,,,,,,,,,New Mexico,UNM,,,,,,,,,0,,New Mexico - 47.097,YES,Mountain West,"Albuquerque, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico St.,,,,,,,,,,,New Mexico St.,NMSU,,,,,,,,,0,,New Mexico St. - 15.152,NO,CUSA,"Las Cruces, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Orleans,,,,,,,,,,,New Orleans,UNO,,,,,,,,,0,,New Orleans - 9.884,NO,Southland,"New Orleans, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niagara,,,,,,,,,,,Niagara,NIA,,,,,,,,,0,,Niagara - 10.336,NO,MAAC,"Niagara Falls, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholls St.,,,,,,,,,,,Nicholls St.,NICH,,,,,,,,,0,,Nicholls St. - 22.612,NO,Southland,"Thibodaux, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJIT,,,,,,,,,,,NJIT,NJIT,,,,,,,,,0,,NJIT - 5.919,NO,American East,"Newark, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk St.,,,,,,,,,,,Norfolk St.,NORF,,,,,,,,,0,,Norfolk St. - 46.8,YES,MEAC,"Norfolk, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Alabama,,,,,,,,,,,North Alabama,UNA,,,,,,,,,0,,North Alabama - 25.958,NO,ASUN,"Florence, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,,,,,,,,,,,North Carolina,UNC,,,,,,,,,1,,North Carolina - 65.622,YES,ACC,"Chapel Hill, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina A&T,,,,,,,,,,,North Carolina A&T,NCAT,,,,,,,,,0,,North Carolina A&T - 2.888,NO,CAA,"Greensboro, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina Central,,,,,,,,,,,North Carolina Central,NCCU,,,,,,,,,0,,North Carolina Central - 14.001,NO,MEAC,"Durham, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,,,,,,,,,,,North Dakota,UND,,,,,,,,,0,,North Dakota - 10.824,NO,Summit,"Grand Forks, ND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota St.,,,,,,,,,,,North Dakota St.,NDSU,,,,,,,,,0,,North Dakota St. - 12.565,NO,Summit,"Fargo, ND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Florida,,,,,,,,,,,North Florida,UNF,,,,,,,,,0,,North Florida - 8.436,NO,ASUN,"UNF Arena, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Texas,,,,,,,,,,,North Texas,UNT,,,,,,,,,0,,North Texas - 46.44,NO,American,"Denton, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeastern,,,,,,,,,,,Northeastern,NE,,,,,,,,,0,,Northeastern - 9.622,NO,CAA,"Boston, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Arizona,,,,,,,,,,,Northern Arizona,,,,,,,,,,0,,Northern Arizona - 18.712,NO,Big Sky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Colorado,,,,,,,,,,,Northern Colorado,UNCO,,,,,,,,,0,,Northern Colorado - 33.215,NO,Big Sky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Illinois,,,,,,,,,,,Northern Illinois,NIU,,,,,,,,,0,,Northern Illinois - 7.713,NO,MAC,"Dekalb, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Iowa,,,,,,,,,,,Northern Iowa,UNI,,,,,,,,,0,,Northern Iowa - 23.772,NO,Missouri Valley,"Cedar Falls, IA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Kentucky,,,,,,,,,,,Northern Kentucky,NKU,,,,,,,,,0,,Northern Kentucky - 23.275,NO,Horizon,"Highland Heights, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwestern,,,,,,,,,,,Northwestern,NU,,,,,,,,,0,,Northwestern - 22.824,NO,Big Ten,"Evanston, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwestern St.,,,,,,,,,,,Northwestern St.,,,,,,,,,,0,,Northwestern St. - 9.931,NO,Southland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notre Dame,,,,,,,,,,,Notre Dame,ND,,,,,,,,,0,,Notre Dame - -1.821,NO,ACC,"South Bend, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakland,,,,,,,,,,,Oakland,OAK,,,,,,,,,0,,Oakland - 31.383,NO,Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,,,,,,,,,,,Ohio,OHIO,,,,,,,,,0,,Ohio - 23.706,NO,MAC,"Athens, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio St.,,,,,,,,,,,Ohio St.,OSU,,,,,,,,,0,,Ohio St. - 21.684,NO,Big Ten,"Columbus, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,,,,,,,,,,,Oklahoma,OU,,,,,,,,,0,,Oklahoma - 27.19,YES,SEC,"Norman, OK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma St.,,,,,,,,,,,Oklahoma St.,OKST,,,,,,,,,0,,Oklahoma St. - 10.403,NO,Big 12,"Stillwater, OK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Dominion,,,,,,,,,,,Old Dominion,ODU,,,,,,,,,0,,Old Dominion - 16.364,NO,Sun Belt,"Norfolk, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oral Roberts,,,,,,,,,,,Oral Roberts,ORU,,,,,,,,,0,,Oral Roberts - 28.893,NO,Summit,"Tulsa, OK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,,,,,,,,,,,Oregon,ORE,,,,,,,,,0,,Oregon - 71.489,YES,Big Ten,"Eugene, OR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon St.,,,,,,,,,,,Oregon St.,ORST,,,,,,,,,0,,Oregon St. - 2.096,NO,WCC,"Corvallis, OR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific,,,,,,,,,,,Pacific,PAC,,,,,,,,,0,,Pacific - 5.636,NO,WCC,"Stockton, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penn,,,,,,,,,,,Penn,PENN,,,,,,,,,0,,Penn - 7.614,NO,Ivy,"Philadelphia, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penn St.,,,,,,,,,,,Penn St.,PSU,,,,,,,,,0,,Penn St. - 1.023,NO,Big Ten,"University Park, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepperdine,,,,,,,,,,,Pepperdine,PEPP,,,,,,,,,0,,Pepperdine - 17.68,NO,WCC,"Malibu, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsburgh,,,,,,,,,,,Pittsburgh,PITT,,,,,,,,,0,,Pittsburgh - 24.556,NO,ACC,"Pittsburgh, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland,,,,,,,,,,,Portland,PORT,,,,,,,,,0,,Portland - 10.328,NO,WCC,"Portland, OR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
