,Team,HomeAwayNeut,Date,Opponent,FGM,FGA,FG3sM,FG3sA,FTM,FTA,OReb,DReb,AST,TO,STL,PF,PTS_OFF_TURN,FST_BREAK,PTS_PAINT,Points,OPP_POINTS,Win,Loss,OPP_FGM,OPP_FGA,OPP_FG3sM,OPP_FG3sA,OPP_OReb,OPP_DReb,OPP_AST,OPP_TO,OPP_PF,OPP_PTS_OFF_TURN,OPP_FST_BREAK,OPP_PTS_PAINT
Team:,,,Rows:,,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Average:,Average:,Average:,Average:,Average:,Average:,Average:,Average:,Average:,Average:,Average:,Maximum:,Maximum:,Sum:,Sum:,Sum:,Sum:,Average:,Average:,Average:,Average:,Average:,Average:,Average:,Average:
Pittsburgh,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pittsburgh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Portland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland St.,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Portland St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairie View A&M,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Prairie View A&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presbyterian,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Presbyterian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Princeton,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Princeton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providence,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purdue,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Purdue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purdue Fort Wayne,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Purdue Fort Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queens,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinnipiac,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Quinnipiac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radford,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Radford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Richmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rider,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Morris,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Robert Morris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutgers,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rutgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento St.,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sacramento St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacred Heart,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sacred Heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Francis,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Saint Francis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Joseph's,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Saint Joseph's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Louis,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Saint Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Mary's,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Saint Mary's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Peter's,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Saint Peter's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Houston St.,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sam Houston St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samford,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Samford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego St.,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,San Diego St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jose St.,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,San Jose St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Santa Clara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Seattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seton Hall,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Seton Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siena,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Siena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIU Edwardsville,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SIU Edwardsville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMU,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Alabama,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,South Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina St.,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,South Carolina St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,South Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota St.,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,South Dakota St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Florida,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,South Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeast Missouri St.,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Southeast Missouri St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeastern Louisiana,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Southeastern Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Illinois,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Southern Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Indiana,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Southern Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Miss,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Southern Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Utah,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Southern Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Bonaventure,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,St. Bonaventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,St. John's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Thomas,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,St. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanford,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Stanford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen F. Austin,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Stephen F. Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stetson,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Stetson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stonehill,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Stonehill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stony Brook,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Stony Brook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syracuse,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Syracuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarleton St.,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tarleton St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCU,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temple,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee Martin,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tennessee Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee St.,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tennessee St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee Tech,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tennessee Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Texas A&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M Corpus Chris,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Texas A&M Corpus Chris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Southern,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Texas Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas St.,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Texas St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Tech,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Texas Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Citadel,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,The Citadel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toledo,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Toledo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Towson,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Towson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troy,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Troy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulane,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tulane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulsa,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tulsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAB,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UC Davis,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,UC Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UC Irvine,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,UC Irvine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UC Riverside,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,UC Riverside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UC San Diego,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,UC San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UC Santa Barbara,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,UC Santa Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCF,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,UCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCLA,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,UCLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMass Lowell,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,UMass Lowell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMBC,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,UMBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMKC,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,UMKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNC Asheville,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,UNC Asheville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNC Greensboro,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,UNC Greensboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNC Wilmington,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,UNC Wilmington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNLV,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,UNLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,USC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC Upstate,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,USC Upstate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT Arlington,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,UT Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT Rio Grande Valley,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,UT Rio Grande Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah St.,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Utah St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Tech,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Utah Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Valley,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Utah Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTEP,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,UTEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTSA,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,UTSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valparaiso,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Valparaiso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanderbilt,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCU,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,VCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Vermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villanova,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Villanova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia Tech,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Virginia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMI,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,VMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wagner,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wake Forest,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Wake Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington St.,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Washington St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weber St.,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Weber St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Georgia,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,West Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
